LabelName;LabelNumber;LED_394_SEN_AVG;LED_445_SEN_AVG;LED_490_SEN_AVG;LED_558_SEN_AVG;LED_592_SEN_AVG;LED_640_SEN_AVG;LED_700_SEN_AVG;LED_750_SEN_AVG;LED_800_SEN_AVG;LED_849_SEN_AVG;LED_890_SEN_AVG;LED_950_SEN_AVG
data#2025-2-20_11-57-59_dataFiles#S0017_20250220_001512_53_bd716a7d-4e54-4fae-97b3-68bc121a6691_R0003;51;-8.3599999999999994316;0;0.096182777105308661647;-4.7610038610038607487;0.06781937099916503231;0.12684634391873342296;0.010066606115652436057;0.22731677771047847925;0.1540133899647253557;0.15956736566571572133;0.077990818255468538633;0.24201598962834916517
data#2025-2-20_11-57-59_dataFiles#S0018_20250220_001640_12_90cc4cab-f2b1-47eb-b40f-4f365fadf69a_R0001;52;-19.522500000000000853;0;0.094088275981324562269;-0.8778635778635778264;0.16128583356526579595;0.10905829596412555671;0.49901604601877075362;0.44724409448818897017;0.53097689151249005679;0.52259639422369930095;0.64291115311909263763;0.59056828003457217946
data#2025-2-20_11-57-59_dataFiles#S0018_20250220_001640_12_90cc4cab-f2b1-47eb-b40f-4f365fadf69a_R0002;53;-15.77000000000000135;0;0.08349256441293446962;-3.1055341055341054712;0.066629557472863892853;0.095878100118971340549;0.098652739933393879257;0.42760448213204116374;0.51089314424207521448;0.51164377518308279402;0.40868214960842558225;0.4339455488331893096
data#2025-2-20_11-57-59_dataFiles#S0018_20250220_001640_12_90cc4cab-f2b1-47eb-b40f-4f365fadf69a_R0003;54;-15.389999999999998792;0;0.082219436278748045388;-4.3722007722007720787;0.063192318396882815601;0.10222476434519996158;0.083409022101120194881;0.41376438522107811258;0.35553475871667500341;0.35607188023881652938;0.34659735349716441766;0.40767070008643041534
data#2025-2-20_11-57-59_dataFiles#S0019_20250220_001806_04_8579048f-c2d6-44cb-a682-dcb31a7b2147_R0001;55;-9.6425000000000000711;0;0.085176379042019703669;-3.8244530244530245966;0.058036459782911213601;0.083149995424178640979;0.088586133817741441465;0.48475166565717747735;0.58185875746886472903;0.5597850063233433815;0.45101269241155816925;0.46473638720829729687
data#2025-2-20_11-57-59_dataFiles#S0019_20250220_001806_04_8579048f-c2d6-44cb-a682-dcb31a7b2147_R0002;56;-14.344999999999998863;0;0.082753328722116548111;-4.2181467181467171557;0.06781937099916503231;0.1015640157408254779;0.11533454435361790991;0.50384615384615383249;0.432153912605283963;0.39010323225787474355;0.37045638671347552728;0.44872515125324113905
data#2025-2-20_11-57-59_dataFiles#S0019_20250220_001806_04_8579048f-c2d6-44cb-a682-dcb31a7b2147_R0003;57;-14.25;0;0.09704521874459622055;-4.3294079794079785017;0.085137767881992759689;0.12157774320490527531;0.113321223130487439;0.48917322834645665663;0.52523216471096390023;0.5111687891532601391;0.4145827707264380102;0.48300561797752805671
data#2025-2-20_11-57-59_dataFiles#S0020_20250220_001922_70_4af6d05a-5e86-44d5-82d9-e8269e1dbe3a_R0001;58;-2.2799999999999998046;0;0.071254106864948985045;-5.2084942084942076335;0.023531867520178124248;0.0976690765992495602;-0.11993642143505903186;0.10069654754694123966;0.11457538454154968244;0.11466721567012733152;0.030529300567107751918;0.07102420051858254757
data#2025-2-20_11-57-59_dataFiles#S0020_20250220_001922_70_4af6d05a-5e86-44d5-82d9-e8269e1dbe3a_R0002;59;-18.667499999999996874;0;0.10862657790074355113;-4.9835263835263825527;0.059622877817979404169;0.10311155852475518968;-0.021858916136845291112;0.11600545124167171984;0.12843567777697789678;0.12078615334843093021;0.060802052389954085176;0.14943820224719100986
data#2025-2-20_11-57-59_dataFiles#S0020_20250220_001922_70_4af6d05a-5e86-44d5-82d9-e8269e1dbe3a_R0003;60;-9.9749999999999996447;0;0.088174390454781259585;-4.9199485199485195608;0.062927915391038119486;0.087914340624142023328;-0.038253103239479259445;0.14695639006662628012;0.14339020468888730164;0.15009558542395809444;0.13109640831758034851;0.22990492653414001945
data#2025-2-20_11-57-59_dataFiles#S0021_20250220_002032_23_641d1201-9117-4647-a1f4-7cfb283a5198_R0001;61;-17.004999999999999005;0;0.081110582742521183941;-2.1286357786357785749;0.049839966601725578521;0.082906561727830146991;0.12310021192854980754;0.47256208358570561678;0.51980658939841140054;0.50661451133790180723;0.40406427221172019904;0.51379645635263604397
data#2025-2-20_11-57-59_dataFiles#S0021_20250220_002032_23_641d1201-9117-4647-a1f4-7cfb283a5198_R0002;62;-8.6449999999999995737;0;0.080083866505274076131;-3.5432432432432432456;0.05195519064848316132;0.082767456758488150426;0.17141992128368149784;0.48923379769836461417;0.54023228469272666086;0.51781859357077730799;0.47923305428031326425;0.57578867761452023899
data#2025-2-20_11-57-59_dataFiles#S0021_20250220_002032_23_641d1201-9117-4647-a1f4-7cfb283a5198_R0003;63;-14.724999999999999645;0;0.088338665052740780737;-3.8611325611325608698;0.070595602560534376213;0.092087489704401934154;0.12655161973963063859;0.47213809812235008057;0.55828714035466608934;0.57140819387665064966;0.5015527950310558758;0.54725583405358690925
data#2025-2-20_11-57-59_dataFiles#S0022_20250220_002203_11_84f4cad9-c26b-4098-8eea-843c3f789772_R0001;64;-13.0625;0;0.085751340134878090149;-2.6299227799227797853;0.090161424993042013631;0.093756749336505892933;0.21801392673327277261;0.46751968503937008093;0.37917476543565376002;0.36342019352371984775;0.38148798271671613414;0.50291702679343130988
data#2025-2-20_11-57-59_dataFiles#S0022_20250220_002203_11_84f4cad9-c26b-4098-8eea-843c3f789772_R0002;65;-10.022500000000000853;0;0.070925557669029901109;-4.1447876447876446093;0.051294183133871414093;0.083341264757023886256;0.098940357250983962389;0.46499091459721381137;0.4693350610707172077;0.41748477985941584434;0.32273832028085336354;0.43928262748487462153
